Formula, something, somethingelse,Formula_mono_iso_wt_nat
C9H10N2,13,15,157.1086617
C7H7N3,13,15,143.0785858
C4H13NO7P2,13,15,254.027179
C23H28O10,13,15,487.2454084
C26H25N2NaO6S,13,15,544.2143975
C23H28O11,13,15,503.240323
C31H54N7O17P3S,13,15,959.3342178
C16H20O2,13,15,260.2000073
C26H38N7O19P3S,13,15,910.1820723
C16H20O3,13,15,276.1949219
C16H20O4,13,15,292.1898365
C72H101CoN18O17P+,13,15,1669.853798
C16H20O6,13,15,324.1796658
C10H14N2O,13,15,190.1382312
C24H40N7O18P3S,13,15,870.1960981
C16H20O9,13,15,372.1644096
C62H90CoN13O15P-2,13,15,1421.745447
C32H42O7,13,15,570.4004085
C32H42O8,13,15,586.3953231
C92H130N28O24S4,13,15,2259.095182
C12H20NO10S3-,13,15,447.0627745
C7H7NO,13,15,129.0732826
C9H10O2,13,15,159.0982731
C9H10O3,13,15,175.0931877
C9H10O4,13,15,191.0881024
C9H10O5,13,15,207.083017
C66H87N13O13,13,15,1348.837503
C9H10O6,13,15,223.0779316
C48H84N2O17,13,15,1010.732101
C13H16N2O2,13,15,247.1588604
C13H16N2O3,13,15,263.1537751
C39H32O15,13,15,779.304959
C13H16N2O4,13,15,279.1486897
C21H26ClN3O2,13,15,411.2329111
C11H11NO2,13,15,201.1129167
C13H16N2O5,13,15,295.1436043
C11H11NO3,13,15,217.1078313
C13H16N2O6,13,15,311.1385189
C11H11NO4,13,15,233.102746
C11H11NO6,13,15,265.0925752
C7H4NNaO3S,13,15,213.0014771
C19H23NO2,13,15,317.2336558
C19H23NO3,13,15,333.2285704
C19H23NO4,13,15,349.223485
C19H23NO5,13,15,365.2183997
C28H31N3O6,13,15,536.3063259
C17H12ClNO2S,13,15,347.0817942
C19H23NO6,13,15,381.2133143
C40H68O11,13,15,764.6103565
C11H17N3O7S,13,15,349.1067285
C22H27NO2,13,15,360.2750204
C22H27NO3,13,15,376.2699351
C22H27NO4,13,15,392.2648497
C29H38N2O4,13,15,509.3745178
C2H3O2,13,15,61.02001402
C6H15N5,13,15,168.138049
C8H8F3N3O4S2,13,15,342.0087751
C25H49NO4,13,15,453.4470649
C24H22N2+2,13,15,364.2517875
C4H8O2S,13,15,124.0379195
C26H24O5,13,15,442.2495997
C21H26ClN3OS,13,15,427.2100671
C14H15ClN2,13,15,262.1334137
C21H36O2,13,15,341.341982
C13H10Cl2,13,15,249.0595686
C21H36O4,13,15,373.3318112
C5H4N4,13,15,129.0485099
C22H17ClN2,13,15,368.1759025
C21H36O5,13,15,389.3267259
C10H14N5+,13,15,219.1430947
C20H30N2O5S,13,15,432.2487093
C43H65N5O10,13,15,859.6025758
C14H16O10,13,15,358.1213145
C24H47NO10S,13,15,566.3696184
C16H22N4O3,13,15,338.2110076
C13H10ClNO2,13,15,261.0806541
C15H18N2,13,15,243.1913909
C8H9N3O2,13,15,190.0874199
C13H19N3O4,13,15,297.1722737
C8H9N3O4,13,15,222.0772492
C47H51NO14,13,15,901.4856676
C16H22N4O9,13,15,434.1804953
C46H46N2O23,13,15,1042.397528
C28H32Cl2O10P2S2,13,15,752.1228525
C4H8O3S,13,15,140.0328342
C17H26N3O15P,13,15,563.1582906
C14H21N3O2S,13,15,312.17352
C36H60O2,13,15,560.5801053
C13H20ClNO,13,15,255.1639898
C5H4O2,13,15,101.0379036
C52H82O2,13,15,790.8059334
C5H8N4O12,13,15,325.0187855
C5H4O3,13,15,117.0328182
C12H18N2O,13,15,220.1762411
C15H21N3O,13,15,277.2098896
C11H8O2,13,15,183.0893327
C11H8O3,13,15,199.0842473
C11H8O4,13,15,215.079162
C11H8O5,13,15,231.0740766
C15H10ClN3O3,13,15,333.0824962
C11H8O6,13,15,247.0689912
C6H12N3PS,13,15,198.0601883
CH5N3O,13,15,79.03772132
C6H14ClNO2S,13,15,206.060541
C51H82O21,13,15,1081.705956
C25H30O12,13,15,547.2575974
C51H82O23,13,15,1113.695786
