Formula, something, somethingelse,Formula_mono_iso_wt_nat
C9H10N2,12,15,148.0784681
C7H7N3,12,15,136.0551019
C4H13NO7P2,12,15,250.0137597
C23H28O10,12,15,464.1682471
C26H25N2NaO6S,12,15,518.1271717
C23H28O11,12,15,480.1631617
C31H54N7O17P3S,12,15,928.2302178
C16H20O2,12,15,244.1463299
C26H38N7O19P3S,12,15,884.0948465
C16H20O3,12,15,260.1412445
C16H20O4,12,15,276.1361591
C72H101CoN18O17P+,12,15,1597.61225
C16H20O6,12,15,308.1259884
C10H14N2O,12,15,180.1046829
C24H40N7O18P3S,12,15,846.115582
C16H20O9,12,15,356.1107322
C62H90CoN13O15P-2,12,15,1359.537447
C32H42O7,12,15,538.2930537
C32H42O8,12,15,554.2879683
C92H130N28O24S4,12,15,2166.786537
C12H20NO10S3-,12,15,435.0225164
C7H7NO,12,15,122.0497987
C9H10O2,12,15,150.0680796
C9H10O3,12,15,166.0629942
C9H10O4,12,15,182.0579088
C9H10O5,12,15,198.0528234
C66H87N13O13,12,15,1282.616084
C9H10O6,12,15,214.0477381
C48H84N2O17,12,15,962.5710691
C13H16N2O2,12,15,234.1152476
C13H16N2O3,12,15,250.1101622
C39H32O15,12,15,740.1741204
C13H16N2O4,12,15,266.1050768
C21H26ClN3O2,12,15,390.1624595
C11H11NO2,12,15,190.0760135
C13H16N2O5,12,15,282.0999914
C11H11NO3,12,15,206.0709281
C13H16N2O6,12,15,298.094906
C11H11NO4,12,15,222.0658427
C11H11NO6,12,15,254.055672
C7H4NNaO3S,12,15,205.9779933
C19H23NO2,12,15,298.1699139
C19H23NO3,12,15,314.1648285
C19H23NO4,12,15,330.1597431
C19H23NO5,12,15,346.1546577
C28H31N3O6,12,15,508.2123904
C17H12ClNO2S,12,15,330.0247619
C19H23NO6,12,15,362.1495724
C40H68O11,12,15,724.476163
C11H17N3O7S,12,15,338.0698253
C22H27NO2,12,15,338.201214
C22H27NO3,12,15,354.1961286
C22H27NO4,12,15,370.1910433
C29H38N2O4,12,15,480.2772275
C2H3O2,12,15,59.01330434
C6H15N5,12,15,162.11792
C8H8F3N3O4S2,12,15,333.9819364
C25H49NO4,12,15,428.363194
C24H22N2+2,12,15,340.1712713
C4H8O2S,12,15,120.0245002
C26H24O5,12,15,416.1623739
C21H26ClN3OS,12,15,406.1396156
C14H15ClN2,12,15,248.086446
C21H36O2,12,15,320.2715304
C13H10Cl2,12,15,236.0159557
C21H36O4,12,15,352.2613596
C5H4N4,12,15,124.0317357
C22H17ClN2,12,15,346.1020961
C21H36O5,12,15,368.2562743
C10H14N5+,12,15,209.1095464
C20H30N2O5S,12,15,412.1816126
C43H65N5O10,12,15,816.4583178
C14H16O10,12,15,344.0743467
C24H47NO10S,12,15,542.2891023
C16H22N4O3,12,15,322.1573302
C13H10ClNO2,12,15,248.0370412
C15H18N2,12,15,228.1410684
C8H9N3O2,12,15,182.0605812
C13H19N3O4,12,15,284.1286608
C8H9N3O4,12,15,214.0504105
C47H51NO14,12,15,854.3279902
C16H22N4O9,12,15,418.1268179
C46H46N2O23,12,15,996.2432056
C28H32Cl2O10P2S2,12,15,724.0289171
C4H8O3S,12,15,136.0194148
C17H26N3O15P,12,15,546.1012584
C14H21N3O2S,12,15,298.1265523
C36H60O2,12,15,524.4593312
C13H20ClNO,12,15,242.1203769
C5H4O2,12,15,96.02112937
C52H82O2,12,15,738.6314819
C5H8N4O12,12,15,320.0020113
C5H4O3,12,15,112.016044
C12H18N2O,12,15,208.135983
C15H21N3O,12,15,262.159567
C11H8O2,12,15,172.0524295
C11H8O3,12,15,188.0473441
C11H8O4,12,15,204.0422587
C11H8O5,12,15,220.0371734
C15H10ClN3O3,12,15,318.0321736
C11H8O6,12,15,236.032088
C6H12N3PS,12,15,192.0400593
CH5N3O,12,15,78.03436648
C6H14ClNO2S,12,15,200.040412
C51H82O21,12,15,1030.53486
C25H30O12,12,15,522.1737264
C51H82O23,12,15,1062.524689
C15H18O2,12,15,230.1306798
C15H18O3,12,15,246.1255944
C33H24O10,12,15,580.136947
C20H27NO11,12,15,458.1554456
C15H18O4,12,15,262.1205091
C20H27NO12,12,15,474.1503602
C15H18O5,12,15,278.1154237
C27H36F2O5,12,15,478.2530807
C15H18O6,12,15,294.1103383
C36H51N3O10,12,15,688.3485496
C27H36F2O6,12,15,494.2479953
C12H8N4O6S,12,15,340.0045943
C15H18O7,12,15,310.1052529
C28H52O12,12,15,580.3458771
C15H18O8,12,15,326.1001676
C16H20N2O9S2,12,15,450.0550914
C15H18O9,12,15,342.0950822
C12H15N5O3,12,15,282.1026638
C13H15NO2,12,15,218.1073136
C36H46O14,12,15,702.2887562
C37H66N7O17P3S,12,15,1012.324118
C13H15NO6,12,15,282.0869721
C21H37ClN+,12,15,339.2579392
C16H25N5O6,12,15,388.165658
C6H13NO2S,12,15,164.0637343
C9H10N2O,12,15,164.0733827
C19H24N8O10S3,12,15,628.0540302
C14H21NO,12,15,220.1593492
C19H16Cl2N2O4S,12,15,440.0148529
C16H20NO4+,12,15,291.1357194
C19H24N7O8P,12,15,516.1216415
C22H32O2,12,15,328.2402303
C22H32O3,12,15,344.2351449
C4H5N3O2,12,15,130.0292811
C29H33ClN2O2,12,15,478.2171258
C22H32O6,12,15,392.2198888
C22H32O7,12,15,408.2148034
C42H70O14,12,15,798.476557
C6H11N2O4PS3,12,15,303.9559252
C22H32O8,12,15,424.209718
C22H32O9,12,15,440.2046326
C11H18N2O2S,12,15,244.1029683
C32H43N8O20P3S,12,15,992.1289952
C31H64,12,15,436.5008021
C6H13NO3S,12,15,180.0586489
C12H18N4O,12,15,238.1362008
C18H39O7P,12,15,398.2433401
C14H8N2O,12,15,222.0577327
C32H36N4,12,15,480.2821367
C23H29N3O2S,12,15,414.1891526
C5H7NO2,12,15,114.0447134
C5H7NO3,12,15,130.039628
C18H22NO+,12,15,269.1666256
C70H104O32,12,15,1456.651071
C5H7NO4,12,15,146.0345426
C5H7NO5,12,15,162.0294572
C10H16Br2N2O2,12,15,355.9519228
C10H16KNO9S2,12,15,397.9873893
C15H22N2O17P2,12,15,566.0334401
C7H7ClO2,12,15,158.0134572
C17H18N2O2,12,15,284.1308976
C21H41O7P,12,15,436.2589902
C17H18N2O5,12,15,332.1156415
C19H36O2,12,15,296.2715304
C27H34O10,12,15,518.2151973
C16H14O3,12,15,254.0942943
C17H18N2O6,12,15,348.1105561
C53H86O21,12,15,1058.56616
C27H34O11,12,15,534.2101119
C16H14O4,12,15,270.0892089
C27H34O12,12,15,550.2050266
C16H14O5,12,15,286.0841236
C16H14O6,12,15,302.0790382
C16H23N2O6,12,15,341.1496813
C16H14O7,12,15,318.0739528
C27H34O15,12,15,598.1897704
C16H14O8,12,15,334.0688674
C20H28N2O5S,12,15,410.1659625
C27H34O16,12,15,614.184685
C4H8N4O4,12,15,180.0426943
C15H9I3O5,12,15,649.7584024
C11H17N2+,12,15,179.1326948
C30H38O13,12,15,606.2312413
C23H30N2O4,12,15,400.2146272
C23H30N2O5,12,15,416.2095419
C14H16O4S,12,15,280.0769297
C14H12Cl2O,12,15,266.0265204
C23H30N2O6,12,15,432.2044565
C6H4ClNO2,12,15,157.990091
C14H20N2O,12,15,234.1516331
C10H12N2O3S,12,15,242.0509327
C4H11O3PS,12,15,170.0166514
C15H19NO2,12,15,246.1386138
C15H19NO3,12,15,262.1335284
C3H3ClN4O,12,15,149.987678
C12H13N5O6S2,12,15,392.015899
C35H42N2O9,12,15,636.2831007
C42H70O35,12,15,1134.369764
C12H6O2,12,15,182.0367794
C14H21N3O6S,12,15,362.1062108
C12H6O4,12,15,214.0266087
C30H49N3O10S,12,15,646.3049702
C21H36BrNO,12,15,398.1950623
C35H34MgN4O4,12,15,602.2311871
C18H33FeO21,12,15,641.0863752
C16H15Cl3O2,12,15,344.0137629
C35H28O22,12,15,800.1072226
C35H34MgN4O5,12,15,618.2261017
C39H41NO19,12,15,828.224313
C41H52O18,12,15,832.3153649
C27H31O14+,12,15,579.1708321
C28H26N4O3,12,15,470.1886303
C104H172N14O30P2,12,15,2173.142392
C21H35N9O15P2,12,15,724.1460986
C26H33NO4,12,15,424.2379934
C16H26N2O15P2,12,15,550.074911
C26H33NO5,12,15,440.2329081
C5H12N4O3,12,15,180.0790798
C13H19NO,12,15,206.1436991
C28H47NO4S,12,15,494.3196146
C9H20NO2+,12,15,175.1458902
C3H3ClO2,12,15,105.9821571
C20H33N3,12,15,318.2585528
C31H33N3O6S,12,15,578.2001112
C17H21ClFN3O4,12,15,388.1115668
C27H4804,12,15,5165.591454
C27H4805,12,15,5166.599279
C43H48CoN4O16+,12,15,939.2273227
C16H12NO3+,12,15,267.0782046
C16H27NO11,12,15,410.1554456
C23H21N2NaO6S,12,15,478.0958716
C24H29NO10,12,15,492.1761811
C11H17N3O,12,15,210.1282669
C10H12N2O5S,12,15,274.040762
C43H70N10O27P2,12,15,1230.359059
C27H31O15+,12,15,595.1657467
C30H31N,12,15,406.2426849
C18H22O11,12,15,414.1162115
C21H26O10,12,15,438.1525971
C21H26O12,12,15,470.1424263
C7H9ClO6P2S,12,15,317.9283594
C36H54O2,12,15,518.412381
C17H10O6,12,15,310.0477381
C24H26N2O16S,12,15,632.0943733
C29H38O11,12,15,562.2414121
C14H20N6O5S,12,15,390.1037978
C6H5BrO,12,15,171.9523774
C20H33NO,12,15,304.2532496
C41H38N6O5S2,12,15,764.2167191
C36H54O8,12,15,614.3818687
C12H22O2,12,15,198.16198
C18H34ClN2O8PS,12,15,506.1402708
C12H22O3,12,15,214.1568946
C12H22O4,12,15,230.1518092
C12H22O5,12,15,246.1467238
C16H24N2O,12,15,262.1829332
C40H44N2O18,12,15,842.2529824
C42H84NO8P,12,15,762.5904901
C40H44N2O19,12,15,858.247897
C28H40N7O18P3S,12,15,894.115582
C42H92N10O34S5,12,15,1450.408443
C23H36N4O5,12,15,452.2567099
C42H71N6O31P,12,15,1192.372345
C27H31O16+,12,15,611.1606614
C14H15N3,12,15,228.1177022
C6H14INO2S,12,15,291.9760273
C59H86CoN13O15P-6,12,15,1319.508341
C22H26N4,12,15,350.2038864
C16H10,12,15,202.0782503
C5H12O4,12,15,136.0735589
C5H12O5,12,15,152.0684735
C12H8O2S,12,15,216.0245002
C16H14,12,15,206.1095504
C9H14N2O11P2,12,15,390.0013521
C37H30O17,12,15,746.1482995
C16H16,12,15,208.1252005
C14H21N3O9S,12,15,410.0909547
C9H8N2O2,12,15,178.0526473
C17H21NO2,12,15,272.1542638
C17H18N2S2,12,15,316.0852098
C17H21NO3,12,15,288.1491784
C17H21NO4,12,15,304.1440931
C17H21NO5,12,15,320.1390077
C9H8N2O5,12,15,226.0373912
C6H13NO8S,12,15,260.033222
C14H19BrN4O-2,12,15,342.0634606
C82H56O52,12,15,1872.173762
C20H25NO2,12,15,312.1855639
C19H23N7O6,12,15,452.1502258
C20H25NO4,12,15,344.1753932
C15H21N5O13P2,12,15,546.0462833
C43H56O17,12,15,844.3517504
C7H15N2O8P,12,15,288.0506718
C28H37NO9,12,15,532.2438667
C22H26O3,12,15,338.1881947
C26H40N7O19P3S,12,15,886.1104966
C22H26O4,12,15,354.1831093
C18H15ClN2O2S,12,15,360.0483459
C22H26O5,12,15,370.1780239
C22H26O6,12,15,386.1729386
C25H42N7O18P3S,12,15,860.1312321
C22H26O8,12,15,418.1627678
C16H15FN2O4,12,15,320.095655
C22H26O9,12,15,434.1576824
C14H22N2O16P2,12,15,538.0385255
C11H10N2O2,12,15,204.0682974
C14H19N3O6S,12,15,360.0905607
C44H55CoN4O16+,12,15,958.2820979
C21H26N8O6S2,12,15,558.1179511
C21H27N5O9S2,12,15,562.1101933
C16H24N5O8P,12,15,450.1214237
C31H53N3O19P2,12,15,836.2659542
C15H20N2O2,12,15,262.1465477
C10H15N5O13P2S,12,15,511.9714038
C25H22ClNO3,12,15,420.1258562
C20H42O7P2,12,15,456.2405767
C15H17I2N5O4,12,15,589.9221645
C32H32O16S4,12,15,800.0573177
C35H34N2O5,12,15,564.240842
C27H32N2O8,12,15,514.2099358
C33H61N5O9,12,15,676.432103
C34H32ClFeN4O4,12,15,655.1342899
C32H38N6O7S,12,15,656.2344777
C37H50O9,12,15,638.3454832
C21H24FN3O4,12,15,404.1661892
C16H16N3NaO7S2,12,15,452.0238406
C19H19ClN3NaO6S,12,15,478.0491831
C27H21NO11,12,15,536.1084954
C39H44N2O7,12,15,654.3089216
C27H21NO12,12,15,552.10341
C10H16N2O,12,15,182.1203329
C2H8O7P2,12,15,205.9745256
C14H19N3O7S,12,15,376.0854754
C18H28N2O,12,15,290.2142333
C26H32ClFO5,12,15,478.19223
C26H44N2,12,15,386.3445192
C5H4N2O4,12,15,158.0111764
C53H85NO20,12,15,1056.563529
C20H22N4O10S,12,15,514.0938032
C22H30O,12,15,310.2296656
C57H92O28,12,15,1224.577512
C11H13N3O6,12,15,286.0715398
C30H20N4O6,12,15,536.126424
C11H13NO3,12,15,208.0865782
C34H44O16,12,15,708.2629354
C11H13NO4,12,15,224.0814928
C34H44O19,12,15,756.2476792
C19H25NO2,12,15,300.1855639
C9H14N4O3,12,15,230.0947299
C9H14N4O4,12,15,246.0896445
C19H25NO3,12,15,316.1804786
C26H20N2O,12,15,378.1516331
C15H19Cl2N3O,12,15,330.0816223
C19H25NO4,12,15,332.1753932
C9H14N4O6,12,15,278.0794738
C19H25NO5,12,15,348.1703078
C38H40N4O2,12,15,588.3032661
C22H29NO2,12,15,340.2168641
C22H29NO3,12,15,356.2117787
C32H53N2O4+,12,15,531.3940544
C21H36N4O5S,12,15,460.2287806
C10H8OS3,12,15,239.9737269
C55H75N17O13,12,15,1198.522619
C23H22O5,12,15,378.1467238
C23H22O6,12,15,394.1416384
C23H22O7,12,15,410.1365531
C22H24ClFN4O3,12,15,450.1402361
C26H44O9,12,15,500.298533
C18H22O5S,12,15,350.1187945
C34H56N4O24,12,15,908.3165883
C42H38O20,12,15,862.1956437
C11H16N4O2,12,15,240.1154654
C5H7N3O5,12,15,192.029675
C48H80O18,12,15,944.5344658
C11H11N4NaO3S,12,15,306.0330952
C11H16N4O4,12,15,272.1052946
C11H16N4O5,12,15,288.1002092
C12H16N2,12,15,190.1254183
C16H24FNO,12,15,266.1812275
C5H10NO7P,12,15,228.0165231
C24H39N8O18P3S,12,15,860.1078659
C8H6N2O,12,15,148.0420826
C11H6Cl2N2,12,15,237.9848734
C7H11N,12,15,110.0861843
C16H14ClN3O,12,15,302.0736445
C12H5Cl5O,12,15,339.8783033
C36H54O,12,15,502.4174664
C41H69N7O8,12,15,794.5000065
C95H146O28,12,15,1735.000064
