Formula, something, somethingelse,Formula_mono_iso_wt_nat
C9H10N2,12,14,146.0843983
C7H7N3,12,14,133.0639972
C4H13NO7P2,12,14,249.0167248
C23H28O10,12,14,464.1682471
C26H25N2NaO6S,12,14,516.1331019
C23H28O11,12,14,480.1631617
C31H54N7O17P3S,12,14,921.2509736
C16H20O2,12,14,244.1463299
C26H38N7O19P3S,12,14,877.1156023
C16H20O3,12,14,260.1412445
C16H20O4,12,14,276.1361591
C72H101CoN18O17P+,12,14,1579.665622
C16H20O6,12,14,308.1259884
C10H14N2O,12,14,178.1106131
C24H40N7O18P3S,12,14,839.1363377
C16H20O9,12,14,356.1107322
C62H90CoN13O15P-2,12,14,1346.575993
C32H42O7,12,14,538.2930537
C32H42O8,12,14,554.2879683
C92H130N28O24S4,12,14,2138.86956
C12H20NO10S3-,12,14,434.0254815
C7H7NO,12,14,121.0527639
C9H10O2,12,14,150.0680796
C9H10O3,12,14,166.0629942
C9H10O4,12,14,182.0579088
C9H10O5,12,14,198.0528234
C66H87N13O13,12,14,1269.65463
C9H10O6,12,14,214.0477381
C48H84N2O17,12,14,960.5769993
C13H16N2O2,12,14,232.1211778
C13H16N2O3,12,14,248.1160924
C39H32O15,12,14,740.1741204
C13H16N2O4,12,14,264.111007
C21H26ClN3O2,12,14,387.1713548
C11H11NO2,12,14,189.0789786
C13H16N2O5,12,14,280.1059216
C11H11NO3,12,14,205.0738932
C13H16N2O6,12,14,296.1008363
C11H11NO4,12,14,221.0688078
C11H11NO6,12,14,253.0586371
C7H4NNaO3S,12,14,204.9809584
C19H23NO2,12,14,297.172879
C19H23NO3,12,14,313.1677936
C19H23NO4,12,14,329.1627082
C19H23NO5,12,14,345.1576229
C28H31N3O6,12,14,505.2212857
C17H12ClNO2S,12,14,329.027727
C19H23NO6,12,14,361.1525375
C40H68O11,12,14,724.476163
C11H17N3O7S,12,14,335.0787206
C22H27NO2,12,14,337.2041791
C22H27NO3,12,14,353.1990937
C22H27NO4,12,14,369.1940084
C29H38N2O4,12,14,478.2831577
C2H3O2,12,14,59.01330434
C6H15N5,12,14,157.1327455
C8H8F3N3O4S2,12,14,330.9908317
C25H49NO4,12,14,427.3661591
C24H22N2+2,12,14,338.1772016
C4H8O2S,12,14,120.0245002
C26H24O5,12,14,416.1623739
C21H26ClN3OS,12,14,403.1485109
C14H15ClN2,12,14,246.0923762
C21H36O2,12,14,320.2715304
C13H10Cl2,12,14,236.0159557
C21H36O4,12,14,352.2613596
C5H4N4,12,14,120.0435961
C22H17ClN2,12,14,344.1080263
C21H36O5,12,14,368.2562743
C10H14N5+,12,14,204.1243719
C20H30N2O5S,12,14,410.1875428
C43H65N5O10,12,14,811.4731433
C14H16O10,12,14,344.0743467
C24H47NO10S,12,14,541.2920674
C16H22N4O3,12,14,318.1691906
C13H10ClNO2,12,14,247.0400063
C15H18N2,12,14,226.1469986
C8H9N3O2,12,14,179.0694765
C13H19N3O4,12,14,281.1375561
C8H9N3O4,12,14,211.0593058
C47H51NO14,12,14,853.3309554
C16H22N4O9,12,14,414.1386783
C46H46N2O23,12,14,994.2491358
C28H32Cl2O10P2S2,12,14,724.0289171
C4H8O3S,12,14,136.0194148
C17H26N3O15P,12,14,543.1101537
C14H21N3O2S,12,14,295.1354476
C36H60O2,12,14,524.4593312
C13H20ClNO,12,14,241.123342
C5H4O2,12,14,96.02112937
C52H82O2,12,14,738.6314819
C5H8N4O12,12,14,316.0138717
C5H4O3,12,14,112.016044
C12H18N2O,12,14,206.1419132
C15H21N3O,12,14,259.1684623
C11H8O2,12,14,172.0524295
C11H8O3,12,14,188.0473441
C11H8O4,12,14,204.0422587
C11H8O5,12,14,220.0371734
C15H10ClN3O3,12,14,315.0410689
C11H8O6,12,14,236.032088
C6H12N3PS,12,14,189.0489546
CH5N3O,12,14,75.0432618
C6H14ClNO2S,12,14,199.0433771
C51H82O21,12,14,1030.53486
C25H30O12,12,14,522.1737264
C51H82O23,12,14,1062.524689
C15H18O2,12,14,230.1306798
C15H18O3,12,14,246.1255944
C33H24O10,12,14,580.136947
C20H27NO11,12,14,457.1584107
C15H18O4,12,14,262.1205091
C20H27NO12,12,14,473.1533253
C15H18O5,12,14,278.1154237
C27H36F2O5,12,14,478.2530807
C15H18O6,12,14,294.1103383
C36H51N3O10,12,14,685.3574449
C27H36F2O6,12,14,494.2479953
C12H8N4O6S,12,14,336.0164547
C15H18O7,12,14,310.1052529
C28H52O12,12,14,580.3458771
C15H18O8,12,14,326.1001676
C16H20N2O9S2,12,14,448.0610216
C15H18O9,12,14,342.0950822
C12H15N5O3,12,14,277.1174894
C13H15NO2,12,14,217.1102787
C36H46O14,12,14,702.2887562
C37H66N7O17P3S,12,14,1005.344874
C13H15NO6,12,14,281.0899372
C21H37ClN+,12,14,338.2609043
C16H25N5O6,12,14,383.1804836
C6H13NO2S,12,14,163.0666994
C9H10N2O,12,14,162.079313
C19H24N8O10S3,12,14,620.0777511
C14H21NO,12,14,219.1623143
C19H16Cl2N2O4S,12,14,438.0207831
C16H20NO4+,12,14,290.1386846
C19H24N7O8P,12,14,509.1423973
C22H32O2,12,14,328.2402303
C22H32O3,12,14,344.2351449
C4H5N3O2,12,14,127.0381764
C29H33ClN2O2,12,14,476.223056
C22H32O6,12,14,392.2198888
C22H32O7,12,14,408.2148034
C42H70O14,12,14,798.476557
C6H11N2O4PS3,12,14,301.9618554
C22H32O8,12,14,424.209718
C22H32O9,12,14,440.2046326
C11H18N2O2S,12,14,242.1088985
C32H43N8O20P3S,12,14,984.1527161
C31H64,12,14,436.5008021
C6H13NO3S,12,14,179.061614
C12H18N4O,12,14,234.1480612
C18H39O7P,12,14,398.2433401
C14H8N2O,12,14,220.0636629
C32H36N4,12,14,476.2939972
C23H29N3O2S,12,14,411.1980479
C5H7NO2,12,14,113.0476785
C5H7NO3,12,14,129.0425931
C18H22NO+,12,14,268.1695908
C70H104O32,12,14,1456.651071
C5H7NO4,12,14,145.0375077
C5H7NO5,12,14,161.0324223
