Formula_mono_iso_wt_nat	Formula
14	C6H7O6
16.03130013	CH4
26.01565006	C2H2
27.01089904	CHN
28.03130013	C2H4
30.01056469	CH2O
31.04219917	CH5N
32.02621475	CH4O
34.0218783	CH3F
42.02179807	CH2N2
42.04695019	C3H6
43.00581366	CHNO
43.04219917	C2H5N
44.02621475	C2H4O
45.02146372	CH3NO
45.05784923	C2H7N
46.00547931	CH2O2
46.04186481	C2H6O
48.00337082	CH4S
53.0265491	C3H3N
54.01056469	C3H2O
56.02621475	C3H4O
57.05784923	C3H7N
58.00547931	C2H2O2
58.04186481	C3H6O
58.98296973	CHNS
59.01330434	C2H3O2
59.03711379	C2H5NO
59.07349929	C3H9N
60.02112937	C2H4O2
60.03236276	CH4N2O
60.05751488	C3H8O
60.06874827	C2H8N2
60.99311748	CHO3-
61.01637835	CH3NO2
61.05276385	C2H7NO
61.99232781	C2H3Cl
62.00039393	CH2O3
62.01902088	C2H6S
62.03677944	C2H6O2
68.02621475	C4H4O
68.03744814	C3H4N2
69.05784923	C4H7N
70.00547931	C3H2O2
70.04186481	C4H6O
70.0530982	C3H6N2
71.03711379	C3H5NO
71.07349929	C4H9N
72.02112937	C3H4O2
72.05751488	C4H8O
73.05276385	C3H7NO
73.06399724	C2H7N3
73.08914936	C4H11N
74.00039393	C2H2O3
74.01565006	C6H2
74.03677944	C3H6O2
74.04801283	C2H6N2O
74.07316494	C4H10O
74.08439833	C3H10N2
75.03202841	C2H5NO2
75.0432618	CH5N3O
75.06841392	C3H9NO
75.99828544	C2H4OS
76.00951883	CH4N2S
76.01604399	C2H4O3
76.02727738	CH4N2O2
76.03467095	C3H8S
76.0524295	C3H8O2
77.02991992	C2H7NS
77.03912516	C6H5
77.0419474	C3H9S
77.98724243	C2H3ClO
78.01170754	C2H3FO2
78.0139355	C2H6OS
78.04695019	C6H6
79.04219917	C5H5N
80.00289249	C2H5ClO
80.03744814	C4H4N2
82.0530982	C4H6N2
83.04834718	C3H5N3
83.07349929	C5H9N
83.95335548	CH2Cl2
83.98233857	CHNaO3
84.02112937	C4H4O2
84.03236276	C3H4N2O
84.04359615	C2H4N4
84.05751488	C5H8O
84.08077575	C5H10N
84.09390039	C6H12
85.05276385	C4H7NO
85.08914936	C5H11N
86.03677944	C4H6O2
86.07316494	C5H10O
86.08439833	C4H10N2
86.10955045	C6H14
87.03202841	C3H5NO2
87.06841392	C4H9NO
87.10479942	C5H13N
88.01604399	C3H4O3
88.0524295	C4H8O2
88.06366289	C3H8N2O
88.08881501	C5H12O
88.1000484	C4H12N2
89.01129297	C2H3NO3
89.04767847	C3H7NO2
89.05891186	C2H7N3O
89.98724243	C3H3ClO
89.99530855	C2H2O4
90.0139355	C3H6OS
90.03169406	C3H6O3
90.04292745	C2H6N2O2
90.05032101	C4H10S
90.06807957	C4H10O2
91.06332854	C3H9NO2
91.99320006	C2H4O2S
92.00289249	C3H5ClO
92.04734412	C3H8O3
92.06260026	C7H8
93.05784923	C6H7N
93.93770542	C2Cl2
93.98215705	C2H3ClO2
93.99109157	C2H6S2
94.00885013	C2H6O2S
94.04186481	C6H6O
94.0530982	C5H6N2
94.06512568	C6H8N
95.03711379	C5H5NO
95.94782193	CH4Se
95.95335548	C2H2Cl2
95.98811468	CH4O3S
96.02112937	C5H4O2
96.03752836	C6H5F
96.05751488	C6H8O
97.01637835	C4H3NO2
97.06399724	C4H7N3
97.96900555	C2H4Cl2
97.97701124	C2H3KO2
98.04801283	C4H6N2O
98.07316494	C6H10O
